,Handle,Title,Type,Tags,Color (product.metafields.custom.colors),Craft (product.metafields.custom.craft),Delivery (product.metafields.custom.delivery),Fabric (product.metafields.custom.fabric),Fit (product.metafields.custom.fit),List of Colors (product.metafields.custom.list_of_colors),description,Fabric,Embroidery,Craft,Fit,Delivery
0,gaia-co-ordinate-set-3583,Gaia Co ordinate Set,Co-ordinate Set,"Brunch, Comfortable Fit, DLVRY 4-5 Weeks, New, Not On Sale, Powder Blue, Pret, Pure Linen, Sabaa",,,,,,,"This powder blue co-ordinate set is crafted from pure linen, it features one shoulder a A-line top. It is paired with loose fit pants featuring functional pockets. The ensemble is beautifully adorned with dori and silk thread embroidery enhanced with beads and sequins.",Pure Linen,This is adorned with dori and silk thread embroidery enhanced with beads and sequins.,"Dori Embroidery, Silk Thread Embroidery, Bead Work, Sequin Embroidery",Comfortable Fit,4-5 Weeks
1,gaia-co-ordinate-set-3583,,,,,,,,,,,,,,,
2,gaia-co-ordinate-set-3583,,,,,,,,,,,,,,,
3,gaia-co-ordinate-set-3583,,,,,,,,,,,,,,,
4,gaia-co-ordinate-set-3583,,,,,,,,,,,,,,,
5,gaia-co-ordinate-set-3583,,,,,,,,,,,,,,,
6,gaia-co-ordinate-set-3583,,,,,,,,,,,,,,,
7,gaia-co-ordinate-set-3583,,,,,,,,,,,,,,,
8,gaia-co-ordinate-set-3583,,,,,,,,,,,,,,,
9,gaia-co-ordinate-set-3583,,,,,,,,,,,,,,,
10,shiqa-co-ordinate-set-3582,Shiqa Co ordinate Set,Co-ordinate Set,"Brunch, Comfortable Fit, DLVRY 4-5 Weeks, Mint Green, New, Not On Sale, Pret, Pure Linen, Sabaa",,,,,,,"This mint green co-ordinate set is crafted from pure linen, it features a A-line top with straps. It is paired with loose fit pants featuring functional pockets. The ensemble is beautifully adorned multicolour silk thread embroidery.",Pure Linen,This is adorned with multicolour silk thread embroidery.,Silk Thread Embroidery,Comfortable Fit,4-5 Weeks
11,shiqa-co-ordinate-set-3582,,,,,,,,,,,,,,,
12,shiqa-co-ordinate-set-3582,,,,,,,,,,,,,,,
13,shiqa-co-ordinate-set-3582,,,,,,,,,,,,,,,
14,shiqa-co-ordinate-set-3582,,,,,,,,,,,,,,,
15,shiqa-co-ordinate-set-3582,,,,,,,,,,,,,,,
16,shiqa-co-ordinate-set-3582,,,,,,,,,,,,,,,
17,shiqa-co-ordinate-set-3582,,,,,,,,,,,,,,,
18,shiqa-co-ordinate-set-3582,,,,,,,,,,,,,,,
19,shiqa-co-ordinate-set-3582,,,,,,,,,,,,,,,
20,arzen-co-ordinate-set-3581,Arzen Co ordinate Set,Co-ordinate Set,"Brunch, Comfortable Fit, DLVRY 4-5 Weeks, Light Pink, New, Not On Sale, Pret, Pure Linen, Sabaa",,,,,,,"This co-ordinate set is crafted from pure linen and features a light pink shirt with a front button placket, a classic shirt collar, full sleeves with gathered cuffs and pockets at the front. It is paired with white straight-fit pants with pockets. The ensemble is intricately adorned with silk thread embroidery.",Pure Linen,This is adorned with silk thread embroidery.,Silk Thread Embroidery,Comfortable Fit,4-5 Weeks
21,arzen-co-ordinate-set-3581,,,,,,,,,,,,,,,
22,arzen-co-ordinate-set-3581,,,,,,,,,,,,,,,
23,arzen-co-ordinate-set-3581,,,,,,,,,,,,,,,
24,arzen-co-ordinate-set-3581,,,,,,,,,,,,,,,
25,arzen-co-ordinate-set-3581,,,,,,,,,,,,,,,
26,arzen-co-ordinate-set-3581,,,,,,,,,,,,,,,
27,arzen-co-ordinate-set-3581,,,,,,,,,,,,,,,
28,arzen-co-ordinate-set-3581,,,,,,,,,,,,,,,
29,arzen-co-ordinate-set-3581,,,,,,,,,,,,,,,
30,alisha-co-ordinate-set-3580,Alisha Co ordinate Set,Co-ordinate Set,"Brunch, Comfortable Fit, DLVRY 4-5 Weeks, New, Not On Sale, Pret, Pure Linen, Sabaa, White-Beige",,,,,,,This white beige co-ordinate set is crafted from pure striped linen. The peplum top features a square neck and full-length sleeves with cuffs. It is paired with straight-fit pants featuring functional pockets. The ensemble is adorned with multicolour silk thread embroidery.,Pure Linen,This is adorned with multicolour silk thread embroidery.,Silk Thread Embroidery,Comfortable Fit,4-5 Weeks
31,alisha-co-ordinate-set-3580,,,,,,,,,,,,,,,
32,alisha-co-ordinate-set-3580,,,,,,,,,,,,,,,
33,alisha-co-ordinate-set-3580,,,,,,,,,,,,,,,
34,alisha-co-ordinate-set-3580,,,,,,,,,,,,,,,
35,alisha-co-ordinate-set-3580,,,,,,,,,,,,,,,
36,alisha-co-ordinate-set-3580,,,,,,,,,,,,,,,
37,alisha-co-ordinate-set-3580,,,,,,,,,,,,,,,
38,alisha-co-ordinate-set-3580,,,,,,,,,,,,,,,
39,alisha-co-ordinate-set-3580,,,,,,,,,,,,,,,
40,cyra-co-ordinate-set-3579,Cyra Co ordinate Set,Co-ordinate Set,"Brunch, Comfortable Fit, DLVRY 4-5 Weeks, Lemon Yellow, New, Not On Sale, Pret, Pure Linen, Sabaa",,,,,,,"This co-ordinate set is crafted from pure linen and features a lemon yellow shirt with a front button placket, a touch neck, and kimono sleeves. It is paired with white straight-fit pants with pockets. The ensemble is intricately adorned with appliqué work and multicoloured silk thread embroidery.",Pure Linen,This piece is adorned with multicolour silk thread embroidery enhanced with beads and sequins,"Silk Thread Embroidery, Bead Work, Sequin Embroidery",Comfortable Fit,4-5 Weeks
41,cyra-co-ordinate-set-3579,,,,,,,,,,,,,,,
42,cyra-co-ordinate-set-3579,,,,,,,,,,,,,,,
43,cyra-co-ordinate-set-3579,,,,,,,,,,,,,,,
44,cyra-co-ordinate-set-3579,,,,,,,,,,,,,,,
45,cyra-co-ordinate-set-3579,,,,,,,,,,,,,,,
46,cyra-co-ordinate-set-3579,,,,,,,,,,,,,,,
47,cyra-co-ordinate-set-3579,,,,,,,,,,,,,,,
48,cyra-co-ordinate-set-3579,,,,,,,,,,,,,,,
49,cyra-co-ordinate-set-3579,,,,,,,,,,,,,,,
50,elara-co-ordinate-set-3578,Elara Co ordinate Set,Co-ordinate Set,"Brunch, Comfortable Fit, DLVRY 4-5 Weeks, Light Grey, New, Not On Sale, Pret, Pure Linen, Sabaa",,,,,,,"This light grey co-ordinate set is crafted from pure striped linen. The pleated top features a front button placket, V neck, and full sleeves with cuffs. It is paired with loose-fit pants with functional pockets. The ensemble is beautifully adorned with multicoloured silk thread embroidery.",Pure Linen,This is adorned with multicolour silk thread embroidery.,Silk Thread Embroidery,Comfortable Fit,4-5 Weeks
51,elara-co-ordinate-set-3578,,,,,,,,,,,,,,,
52,elara-co-ordinate-set-3578,,,,,,,,,,,,,,,
53,elara-co-ordinate-set-3578,,,,,,,,,,,,,,,
54,elara-co-ordinate-set-3578,,,,,,,,,,,,,,,
55,elara-co-ordinate-set-3578,,,,,,,,,,,,,,,
56,elara-co-ordinate-set-3578,,,,,,,,,,,,,,,
57,elara-co-ordinate-set-3578,,,,,,,,,,,,,,,
58,elara-co-ordinate-set-3578,,,,,,,,,,,,,,,
59,elara-co-ordinate-set-3578,,,,,,,,,,,,,,,
60,raisa-co-ordinate-set-3577,Raisa Co ordinate Set,Co-ordinate Set,"Brunch, Comfortable Fit, DLVRY 4-5 Weeks, Lemon Yellow, New, Not On Sale, Pret, Pure Linen, Sabaa",,,,,,,This lemon yellow co-ordinate set is crafted from pure linen. This asymmetrical top features a touch neck with slit with dropped shoulders. It is paired with a straight fit pants with functional pockets. The ensemble is adorned with silk thread embroidery enhanced with 3D flowers.,Pure Linen,This piece is adorned with silk thread embroidery with 3D work,"Silk Thread Embroidery, 3D Embroidery",Comfortable Fit,4-5 Weeks
61,raisa-co-ordinate-set-3577,,,,,,,,,,,,,,,
62,raisa-co-ordinate-set-3577,,,,,,,,,,,,,,,
63,raisa-co-ordinate-set-3577,,,,,,,,,,,,,,,
64,raisa-co-ordinate-set-3577,,,,,,,,,,,,,,,
65,raisa-co-ordinate-set-3577,,,,,,,,,,,,,,,
66,raisa-co-ordinate-set-3577,,,,,,,,,,,,,,,
67,raisa-co-ordinate-set-3577,,,,,,,,,,,,,,,
68,raisa-co-ordinate-set-3577,,,,,,,,,,,,,,,
69,raisa-co-ordinate-set-3577,,,,,,,,,,,,,,,
70,soha-co-ordinate-set-3576,Soha Co ordinate Set,Co-ordinate Set,"Brunch, Comfortable Fit, DLVRY 4-5 Weeks, Light Pink, New, Not On Sale, Pret, Pure Linen, Sabaa",,,,,,,"This co-ordinate set is crafted from pure linen and features a light pink shirt with a front button placket, a touch neck, and kimono sleeves. It is paired with white straight-fit pants with pockets. The ensemble is intricately adorned with appliqué work and multicoloured silk thread embroidery.",Pure Linen,This piece is adorned with Applique work with multicolour silk thread embroidery.,"Appliqué Work, Silk Thread Embroidery",Comfortable Fit,4-5 Weeks
71,soha-co-ordinate-set-3576,,,,,,,,,,,,,,,
72,soha-co-ordinate-set-3576,,,,,,,,,,,,,,,
73,soha-co-ordinate-set-3576,,,,,,,,,,,,,,,
74,soha-co-ordinate-set-3576,,,,,,,,,,,,,,,
75,soha-co-ordinate-set-3576,,,,,,,,,,,,,,,
76,soha-co-ordinate-set-3576,,,,,,,,,,,,,,,
77,soha-co-ordinate-set-3576,,,,,,,,,,,,,,,
78,soha-co-ordinate-set-3576,,,,,,,,,,,,,,,
79,soha-co-ordinate-set-3576,,,,,,,,,,,,,,,
80,lamya-co-ordinate-set-3575,Lamya Co ordinate Set,Co-ordinate Set,"Brunch, DLVRY 4-5 Weeks, Loose Fit, Mint Green, New, Not On Sale, Pret, Pure Linen, Sabaa",,,,,,,"This mint green co-ordinate set is crafted from pure linen. The shirt features a front button placket, a classic shirt collar, and full sleeves with cuffs. It is paired with pleated, loose-fit pants with functional pockets. The ensemble is beautifully adorned with multicoloured silk thread embroidery and cotton thread hangings at the back of the shirt.",Pure Linen,This piece is adorned with multicolour silk thread embroidery.,Silk Thread Embroidery,Loose Fit,4-5 Weeks
81,lamya-co-ordinate-set-3575,,,,,,,,,,,,,,,
82,lamya-co-ordinate-set-3575,,,,,,,,,,,,,,,
83,lamya-co-ordinate-set-3575,,,,,,,,,,,,,,,
84,lamya-co-ordinate-set-3575,,,,,,,,,,,,,,,
85,lamya-co-ordinate-set-3575,,,,,,,,,,,,,,,
86,lamya-co-ordinate-set-3575,,,,,,,,,,,,,,,
87,lamya-co-ordinate-set-3575,,,,,,,,,,,,,,,
88,lamya-co-ordinate-set-3575,,,,,,,,,,,,,,,
89,lamya-co-ordinate-set-3575,,,,,,,,,,,,,,,
90,sania-co-ordinate-set-3574,Sania Co ordinate Set,Co-ordinate Set,"Brunch, Comfortable Fit, DLVRY 4-5 Weeks, New, Not On Sale, Pret, Pure Linen, Sabaa, White-Beige",,,,,,,"This white beige co-ordinate set is crafted from pure striped linen. The top features a front button placket, a peter pan collar, and three quarter sleeves with cuffs. It is paired with loose-fit pants featuring functional pockets. The ensemble is beautifully adorned with multicolour silk thread embroidery.",Pure Linen,This piece is adorned with multicolour silk thread embroidery.,Silk Thread Embroidery,Comfortable Fit,4-5 Weeks
91,sania-co-ordinate-set-3574,,,,,,,,,,,,,,,
92,sania-co-ordinate-set-3574,,,,,,,,,,,,,,,
93,sania-co-ordinate-set-3574,,,,,,,,,,,,,,,
94,sania-co-ordinate-set-3574,,,,,,,,,,,,,,,
95,sania-co-ordinate-set-3574,,,,,,,,,,,,,,,
96,sania-co-ordinate-set-3574,,,,,,,,,,,,,,,
97,sania-co-ordinate-set-3574,,,,,,,,,,,,,,,
98,sania-co-ordinate-set-3574,,,,,,,,,,,,,,,
99,sania-co-ordinate-set-3574,,,,,,,,,,,,,,,
100,selia-co-ordinate-set-3573,Selia Co ordinate Set,Co-ordinate Set,"Brunch, Comfortable Fit, DLVRY 4-5 Weeks, New, Not On Sale, Pret, Pure Linen, Sabaa, White",,,,,,,"This co-ordinate set is crafted from pure linen and features a white sleeveless shirt with a front button placket and a classic shirt collar. It is paired with light grey, straight-fit pants made from pure striped linen with pockets. The ensemble is adorned with multicoloured silk ribbon and silk thread embroidery.",Pure Linen,This piece is adorned with multicolour silk ribbon embroidery and silk thread embroidery.,"Silk Ribbon Embroidery, Silk Thread Embroidery",Comfortable Fit,4-5 Weeks
101,selia-co-ordinate-set-3573,,,,,,,,,,,,,,,
102,selia-co-ordinate-set-3573,,,,,,,,,,,,,,,
103,selia-co-ordinate-set-3573,,,,,,,,,,,,,,,
104,selia-co-ordinate-set-3573,,,,,,,,,,,,,,,
105,selia-co-ordinate-set-3573,,,,,,,,,,,,,,,
106,selia-co-ordinate-set-3573,,,,,,,,,,,,,,,
107,selia-co-ordinate-set-3573,,,,,,,,,,,,,,,
108,selia-co-ordinate-set-3573,,,,,,,,,,,,,,,
109,selia-co-ordinate-set-3573,,,,,,,,,,,,,,,
110,iris-co-ordinate-set-3572,Iris Co ordinate Set,Co-ordinate Set,"Brunch, Comfortable Fit, DLVRY 4-5 Weeks, New, Not On Sale, Powder Blue, Pret, Pure Linen, Sabaa",,,,,,,"This powder blue co-ordinate set is crafted from pure linen. The loose-fit, elasticated top features a front button placket, a classic shirt collar, and full-length poet sleeves. It is paired with straight-fit pants featuring functional pockets. The ensemble is beautifully adorned with appliqué work and intricate multicolour silk thread embroidery.",Pure Linen,This piece is adorned with Applique work with multicolour silk thread embroidery.,"Appliqué Work, Silk Thread Embroidery",Comfortable Fit,4-5 Weeks
111,iris-co-ordinate-set-3572,,,,,,,,,,,,,,,
112,iris-co-ordinate-set-3572,,,,,,,,,,,,,,,
113,iris-co-ordinate-set-3572,,,,,,,,,,,,,,,
114,iris-co-ordinate-set-3572,,,,,,,,,,,,,,,
115,iris-co-ordinate-set-3572,,,,,,,,,,,,,,,
116,iris-co-ordinate-set-3572,,,,,,,,,,,,,,,
117,iris-co-ordinate-set-3572,,,,,,,,,,,,,,,
118,iris-co-ordinate-set-3572,,,,,,,,,,,,,,,
119,iris-co-ordinate-set-3572,,,,,,,,,,,,,,,
120,alba-co-ordinate-set-3571,Alba Co ordinate Set,Co-ordinate Set,"Brunch, DLVRY 4-5 Weeks, Handwoven Silk Chanderi, Loose Fit, New, Not On Sale, Pastel Yellow, Pret, Sabaa",,,,,,,"This pastel yellow co-ordinate set is crafted from handwoven silk chanderi. The loose-fit shirt features a front button placket, mandarin collar, and full-length poet sleeves, paired with straight-fit pants with pockets, adorned with silk thread embroidery.",Handwoven Silk Chanderi,This piece is adorned with multicolour silk thread embroidery.,Silk Thread Embroidery,Loose Fit,4-5 Weeks
121,alba-co-ordinate-set-3571,,,,,,,,,,,,,,,
122,alba-co-ordinate-set-3571,,,,,,,,,,,,,,,
123,alba-co-ordinate-set-3571,,,,,,,,,,,,,,,
124,alba-co-ordinate-set-3571,,,,,,,,,,,,,,,
125,alba-co-ordinate-set-3571,,,,,,,,,,,,,,,
126,alba-co-ordinate-set-3571,,,,,,,,,,,,,,,
127,alba-co-ordinate-set-3571,,,,,,,,,,,,,,,
128,alba-co-ordinate-set-3571,,,,,,,,,,,,,,,
129,alba-co-ordinate-set-3571,,,,,,,,,,,,,,,
130,eden-co-ordinate-set-3570,Eden Co ordinate Set,Co-ordinate Set,"Brunch, DLVRY 4-5 Weeks, Handwoven Silk Chanderi, Loose Fit, New, Not On Sale, Pastel Yellow, Pret, Sabaa",,,,,,,"This pastel yellow co-ordinate set is crafted from handwoven silk chanderi. The loose-fit shirt features a front button placket, mandarin collar, and full-length sleeves, paired with straight-fit pants with pockets, adorned with silk thread embroidery.",Handwoven Silk Chanderi,This piece is adorned with silk thread embroidery.,Silk Thread Embroidery,Loose Fit,4-5 Weeks
131,eden-co-ordinate-set-3570,,,,,,,,,,,,,,,
132,eden-co-ordinate-set-3570,,,,,,,,,,,,,,,
133,eden-co-ordinate-set-3570,,,,,,,,,,,,,,,
134,eden-co-ordinate-set-3570,,,,,,,,,,,,,,,
135,eden-co-ordinate-set-3570,,,,,,,,,,,,,,,
136,eden-co-ordinate-set-3570,,,,,,,,,,,,,,,
137,eden-co-ordinate-set-3570,,,,,,,,,,,,,,,
138,eden-co-ordinate-set-3570,,,,,,,,,,,,,,,
139,eden-co-ordinate-set-3570,,,,,,,,,,,,,,,
140,zafira-co-ordinate-set-3569,Zafira Co ordinate Set,Co-ordinate Set,"Brunch, DLVRY 4-5 Weeks, Handwoven Silk Chanderi, Ice Blue, Loose Fit, New, Not On Sale, Pret, Sabaa",,,,,,,"This ice blue co-ordinate set is crafted from handwoven silk chanderi. The kaftan style top features a touch neck with knotted sleeves. It is paired with straight fit pants with pockets. The set is adorned with cotton thread embroidery, enhanced with beads.",Handwoven Silk Chanderi,"This is adorned with cotton thread embroidery, enhanced with beads.","Cotton Thread Embroidery, Bead Work",Loose Fit,4-5 Weeks
141,zafira-co-ordinate-set-3569,,,,,,,,,,,,,,,
142,zafira-co-ordinate-set-3569,,,,,,,,,,,,,,,
143,zafira-co-ordinate-set-3569,,,,,,,,,,,,,,,
144,zafira-co-ordinate-set-3569,,,,,,,,,,,,,,,
145,zafira-co-ordinate-set-3569,,,,,,,,,,,,,,,
146,zafira-co-ordinate-set-3569,,,,,,,,,,,,,,,
147,zafira-co-ordinate-set-3569,,,,,,,,,,,,,,,
148,zafira-co-ordinate-set-3569,,,,,,,,,,,,,,,
149,zafira-co-ordinate-set-3569,,,,,,,,,,,,,,,
