Handle,craft,fabric,color,Product Types
gaia-co-ordinate-set-3583,"Dori Embroidery, Thread Embroidery, Bead Work, Sequin Embroidery",Linen,Blue,Co-ordinate Set
shiqa-co-ordinate-set-3582,Thread Embroidery,Linen,Green,Co-ordinate Set
arzen-co-ordinate-set-3581,Thread Embroidery,Linen,"Pink, White",Co-ordinate Set
alisha-co-ordinate-set-3580,Thread Embroidery,Linen,"Beige, White",Co-ordinate Set
cyra-co-ordinate-set-3579,"Thread Embroidery, Bead Work, Sequin Embroidery, Applique Work",Linen,"Yellow, White",Co-ordinate Set
elara-co-ordinate-set-3578,Thread Embroidery,Linen,Grey,Co-ordinate Set
raisa-co-ordinate-set-3577,"Thread Embroidery, 3D Embroidery",Linen,Yellow,Co-ordinate Set
soha-co-ordinate-set-3576,"Applique Work, Thread Embroidery",Linen,"Pink, White",Co-ordinate Set
lamya-co-ordinate-set-3575,Thread Embroidery,Linen,Green,Co-ordinate Set
sania-co-ordinate-set-3574,Thread Embroidery,Linen,"Beige, White",Co-ordinate Set
selia-co-ordinate-set-3573,"Ribbon Embroidery, Thread Embroidery",Linen,"Grey, White",Co-ordinate Set
iris-co-ordinate-set-3572,"Applique Work, Thread Embroidery",Linen,Blue,Co-ordinate Set
alba-co-ordinate-set-3571,Thread Embroidery,"Chanderi, Silk",Yellow,Co-ordinate Set
eden-co-ordinate-set-3570,Thread Embroidery,"Chanderi, Silk",Yellow,Co-ordinate Set
zafira-co-ordinate-set-3569,"Thread Embroidery, Bead Work","Chanderi, Silk",Blue,Co-ordinate Set
aya-co-ordinate-set-3568,"Thread Embroidery, Bead Work, Sequin Embroidery","Chanderi, Silk",Blue,Co-ordinate Set
elena-co-ordinate-set-3567,Thread Embroidery,"Chanderi, Silk",Pink,Co-ordinate Set
amina-co-ordinate-set-3566,Thread Embroidery,"Chanderi, Silk",Pink,Co-ordinate Set
anisha-co-ordinate-set-3565,"Ribbon Embroidery, 3D Embroidery, Bead Work, Sequin Embroidery","Chanderi, Silk",Green,Co-ordinate Set
mehzal-co-ordinate-set-3564,"Thread Embroidery, Bead Work","Chanderi, Silk",Green,Co-ordinate Set
izel-tunic-set-3563,"Thread Embroidery, Bead Work","Chanderi, Silk","Green, White",Tunic Set
ziana-tunic-set-3562,"Thread Embroidery, Bead Work","Chanderi, Silk",Yellow,Tunic Set
naz-tunic-set-3561,Thread Embroidery,"Chanderi, Silk",Yellow,Tunic Set
