Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Color (product.metafields.custom.colors),Craft (product.metafields.custom.craft),Delivery (product.metafields.custom.delivery),Fabric (product.metafields.custom.fabric),Fit (product.metafields.custom.fit),List of Colors (product.metafields.custom.list_of_colors),Number of components (product.metafields.custom.number_of_components),Products Components (product.metafields.custom.products_components),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Included / International,Price / International,Compare At Price / International,Status
gaia-co-ordinate-set-3583,Gaia Co ordinate Set,"<meta charset=""utf-8"">
<p>This powder blue co-ordinate set is crafted from pure linen, it features one shoulder a A-line top. It is paired with loose fit pants featuring functional pockets. The ensemble is beautifully adorned with dori and silk thread embroidery enhanced with beads and sequins.<br><br></p>
<div style=""overflow-x: auto;"">
<table border=""1"" style=""border: 1px solid black;"" align=""left"">
<tbody>
<tr>
<td style=""padding-left: 10px;""><b>Fabric</b></td>
<td style=""padding-left: 10px;""><span>Pure Linen</span></td>
</tr>
<tr>
<td style=""padding-left: 10px;""><b>Embroidery</b></td>
<td style=""padding-left: 10px;""><span>This is adorned with dori and silk thread embroidery enhanced with beads and sequins.</span></td>
</tr>
<tr>
<td style=""padding-left: 10px;""><b>Craft</b></td>
<td style=""padding-left: 10px;""><span>Dori Embroidery, Silk Thread Embroidery, Bead Work, Sequin Embroidery</span></td>
</tr>
<tr>
<td style=""padding-left: 10px;""><b>Fit</b></td>
<td style=""padding-left: 10px;""><span>Comfortable Fit</span></td>
</tr>
<tr>
<td style=""padding-left: 10px;""><b>Delivery</b></td>
<td style=""padding-left: 10px;""><span>4-5 Weeks</span></td>
</tr>
<tr>
<td style=""padding-left: 10px;""><b>Wash Care</b></td>
<td style=""padding-left: 10px;""><span>PROFESSIONAL DRY CLEAN ONLY: This ensemble can be dry cleaned using solvent of perchloroethylene or of petroleum based solvent. However there are strict limitations on the addition of water and / or mechanical action and / or temperature during the cleaning and / or drying process due to the delicate nature of the pure fabrics used.</span></td>
</tr>
</tbody>
</table>
</div>","Dori Embroidery, Silk Thread Embroidery, Bead Work, Sequin Embroidery",,Co-ordinate Set,"Brunch, Comfortable Fit, DLVRY 4-5 Weeks, New, Not On Sale, Powder Blue, Pret, Pure Linen, Sabaa",TRUE,Size,M,,,,,,,,3583-M,2000,,0,continue,manual,27500,27500,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0527/5808/5785/files/SMGD121251.jpg?v=1745265399,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
gaia-co-ordinate-set-3583,,,,,,,,,XS,,,,,,,,3583-XS,2000,,0,deny,manual,27500,27500,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0527/5808/5785/files/SMGD121271.jpg?v=1745265399,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
gaia-co-ordinate-set-3583,,,,,,,,,S,,,,,,,,3583-S,2000,,0,deny,manual,27500,27500,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0527/5808/5785/files/SMGD121259.jpg?v=1745265399,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
gaia-co-ordinate-set-3583,,,,,,,,,L,,,,,,,,3583-L,2000,,0,deny,manual,27500,27500,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0527/5808/5785/files/SMGD121261.jpg?v=1745265399,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
gaia-co-ordinate-set-3583,,,,,,,,,XL,,,,,,,,3583-XL,2000,,0,deny,manual,28875,27500,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0527/5808/5785/files/SMGD121274.jpg?v=1745265399,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
gaia-co-ordinate-set-3583,,,,,,,,,XXL,,,,,,,,3583-XXL,2000,,0,deny,manual,28875,27500,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
gaia-co-ordinate-set-3583,,,,,,,,,3XL,,,,,,,,3583-3XL,2000,,0,deny,manual,30250,27500,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
gaia-co-ordinate-set-3583,,,,,,,,,4XL,,,,,,,,3583-4XL,2000,,0,deny,manual,30250,27500,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
gaia-co-ordinate-set-3583,,,,,,,,,5XL,,,,,,,,3583-5XL,2000,,0,deny,manual,31625,27500,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
gaia-co-ordinate-set-3583,,,,,,,,,6XL,,,,,,,,3583-6XL,2000,,0,deny,manual,31625,27500,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
