,Handle,Title,Type,description,craft,fabric,color,Product Types,Description
0,gaia-co-ordinate-set-3583,Gaia Co ordinate Set,Co-ordinate Set,"This powder blue co-ordinate set is crafted from pure linen, it features one shoulder a A-line top. It is paired with loose fit pants featuring functional pockets. The ensemble is beautifully adorned with dori and silk thread embroidery enhanced with beads and sequins.","Dori Embroidery, Thread Embroidery, Bead Work, Sequin Embroidery",Linen,Blue,Co-ordinate Set,"The dress is a light blue two-piece set featuring a one-shoulder top adorned with white floral embroidery and matching wide-leg pants with similar floral embroidery near the hem.
"
1,shiqa-co-ordinate-set-3582,Shiqa Co ordinate Set,Co-ordinate Set,"This mint green co-ordinate set is crafted from pure linen, it features a A-line top with straps. It is paired with loose fit pants featuring functional pockets. The ensemble is beautifully adorned multicolour silk thread embroidery.",Thread Embroidery,Linen,Green,Co-ordinate Set,"The dress is a light green two-piece set featuring a sleeveless top with thin straps and wide-legged pants, both adorned with floral embroidery in shades of pink, yellow, and green.
"
2,arzen-co-ordinate-set-3581,Arzen Co ordinate Set,Co-ordinate Set,"This co-ordinate set is crafted from pure linen and features a light pink shirt with a front button placket, a classic shirt collar, full sleeves with gathered cuffs and pockets at the front. It is paired with white straight-fit pants with pockets. The ensemble is intricately adorned with silk thread embroidery.",Thread Embroidery,Linen,"Pink, White",Co-ordinate Set,
3,alisha-co-ordinate-set-3580,Alisha Co ordinate Set,Co-ordinate Set,This white beige co-ordinate set is crafted from pure striped linen. The peplum top features a square neck and full-length sleeves with cuffs. It is paired with straight-fit pants featuring functional pockets. The ensemble is adorned with multicolour silk thread embroidery.,Thread Embroidery,Linen,"Beige, White",Co-ordinate Set,"The dress is a two-piece set featuring a square-neck top with long, slightly puffed sleeves and buttoned cuffs, paired with high-waisted, wide-leg pants, both made from a light-colored fabric with vertical stripes and an all-over botanical print in a muted brown tone.
"
4,cyra-co-ordinate-set-3579,Cyra Co ordinate Set,Co-ordinate Set,"This co-ordinate set is crafted from pure linen and features a lemon yellow shirt with a front button placket, a touch neck, and kimono sleeves. It is paired with white straight-fit pants with pockets. The ensemble is intricately adorned with appliqué work and multicoloured silk thread embroidery.","Thread Embroidery, Bead Work, Sequin Embroidery, Applique Work",Linen,"Yellow, White",Co-ordinate Set,"The ensemble features a light yellow, button-down shirt with a mandarin collar and three-quarter sleeves, adorned with white floral embroidery on the sleeves, paired with wide-legged, white pants that have yellow floral embroidery near the hem.
"
5,elara-co-ordinate-set-3578,Elara Co ordinate Set,Co-ordinate Set,"This light grey co-ordinate set is crafted from pure striped linen. The pleated top features a front button placket, V neck, and full sleeves with cuffs. It is paired with loose-fit pants with functional pockets. The ensemble is beautifully adorned with multicoloured silk thread embroidery.",Thread Embroidery,Linen,Grey,Co-ordinate Set,"The dress is a two-piece set featuring a long-sleeved top and wide-leg pants, both made from a striped fabric in beige and white, the top has a V-neckline, button-down front, and floral embroidery on the shoulder and sleeve, while the pants have matching floral embroidery on the lower leg.
"
6,raisa-co-ordinate-set-3577,Raisa Co ordinate Set,Co-ordinate Set,This lemon yellow co-ordinate set is crafted from pure linen. This asymmetrical top features a touch neck with slit with dropped shoulders. It is paired with a straight fit pants with functional pockets. The ensemble is adorned with silk thread embroidery enhanced with 3D flowers.,"Thread Embroidery, 3D Embroidery",Linen,Yellow,Co-ordinate Set,"The dress is a two-piece set in a light yellow color, featuring a short-sleeved top with an asymmetrical hemline and white floral embroidery along the bottom edge, paired with cropped, wide-leg pants in the same yellow fabric.
"
7,soha-co-ordinate-set-3576,Soha Co ordinate Set,Co-ordinate Set,"This co-ordinate set is crafted from pure linen and features a light pink shirt with a front button placket, a touch neck, and kimono sleeves. It is paired with white straight-fit pants with pockets. The ensemble is intricately adorned with appliqué work and multicoloured silk thread embroidery.","Applique Work, Thread Embroidery",Linen,"Pink, White",Co-ordinate Set,
8,lamya-co-ordinate-set-3575,Lamya Co ordinate Set,Co-ordinate Set,"This mint green co-ordinate set is crafted from pure linen. The shirt features a front button placket, a classic shirt collar, and full sleeves with cuffs. It is paired with pleated, loose-fit pants with functional pockets. The ensemble is beautifully adorned with multicoloured silk thread embroidery and cotton thread hangings at the back of the shirt.",Thread Embroidery,Linen,Green,Co-ordinate Set,"The ensemble features a light green, button-down shirt with long sleeves and floral embroidery on the shoulders, paired with matching light green, pleated pants adorned with floral embroidery near the hems.
"
9,sania-co-ordinate-set-3574,Sania Co ordinate Set,Co-ordinate Set,"This white beige co-ordinate set is crafted from pure striped linen. The top features a front button placket, a peter pan collar, and three quarter sleeves with cuffs. It is paired with loose-fit pants featuring functional pockets. The ensemble is beautifully adorned with multicolour silk thread embroidery.",Thread Embroidery,Linen,"Beige, White",Co-ordinate Set,"The ensemble features a beige jacket with a Peter Pan collar, adorned with a grid pattern and delicate pink floral embroidery, paired with wide-leg trousers in a vertical stripe pattern of beige and off-white.
"
10,selia-co-ordinate-set-3573,Selia Co ordinate Set,Co-ordinate Set,"This co-ordinate set is crafted from pure linen and features a white sleeveless shirt with a front button placket and a classic shirt collar. It is paired with light grey, straight-fit pants made from pure striped linen with pockets. The ensemble is adorned with multicoloured silk ribbon and silk thread embroidery.","Ribbon Embroidery, Thread Embroidery",Linen,"Grey, White",Co-ordinate Set,"The outfit features a sleeveless, collared top in off-white with a button-down front accented by delicate floral embroidery in yellow and gray, paired with wide-legged, cropped pants in a beige and white vertical striped pattern.
"
11,iris-co-ordinate-set-3572,Iris Co ordinate Set,Co-ordinate Set,"This powder blue co-ordinate set is crafted from pure linen. The loose-fit, elasticated top features a front button placket, a classic shirt collar, and full-length poet sleeves. It is paired with straight-fit pants featuring functional pockets. The ensemble is beautifully adorned with appliqué work and intricate multicolour silk thread embroidery.","Applique Work, Thread Embroidery",Linen,Blue,Co-ordinate Set,"The dress is a light blue two-piece set featuring a button-down top with long sleeves and elasticated hem, adorned with white daisy floral embroidery around the hem and on the flared sleeves which have tie details, paired with matching high-waisted, wide-leg pants that also have daisy floral embroidery at the hem.
"
12,alba-co-ordinate-set-3571,Alba Co ordinate Set,Co-ordinate Set,"This pastel yellow co-ordinate set is crafted from handwoven silk chanderi. The loose-fit shirt features a front button placket, mandarin collar, and full-length poet sleeves, paired with straight-fit pants with pockets, adorned with silk thread embroidery.",Thread Embroidery,"Chanderi, Silk",Yellow,Co-ordinate Set,
13,eden-co-ordinate-set-3570,Eden Co ordinate Set,Co-ordinate Set,"This pastel yellow co-ordinate set is crafted from handwoven silk chanderi. The loose-fit shirt features a front button placket, mandarin collar, and full-length sleeves, paired with straight-fit pants with pockets, adorned with silk thread embroidery.",Thread Embroidery,"Chanderi, Silk",Yellow,Co-ordinate Set,"The dress is a two-piece set in a light yellow or gold color, featuring a long-sleeved, button-down top with a mandarin collar and floral embroidery on the upper chest, paired with matching straight-leg pants that have floral embroidery along the hem.
"
14,zafira-co-ordinate-set-3569,Zafira Co ordinate Set,Co-ordinate Set,"This ice blue co-ordinate set is crafted from handwoven silk chanderi. The kaftan style top features a touch neck with knotted sleeves. It is paired with straight fit pants with pockets. The set is adorned with cotton thread embroidery, enhanced with beads.","Thread Embroidery, Bead Work","Chanderi, Silk",Blue,Co-ordinate Set,"The dress is a light gray two-piece set featuring a tunic-style top with short, ruffled sleeves and floral embroidery on the upper shoulder area, paired with wide-leg cropped pants, both pieces have a subtle white trim at the hem.
"
15,aya-co-ordinate-set-3568,Aya Co ordinate Set,Co-ordinate Set,"This ice blue co-ordinate set is crafted from handwoven silk chanderi. The top features a flattering V-neckline with soft gathers at the center, full-length sleeves with gathered cuffs, and is paired with flared pants with pockets. The set is adorned with cotton thread embroidery, enhanced with beads and sequins.","Thread Embroidery, Bead Work, Sequin Embroidery","Chanderi, Silk",Blue,Co-ordinate Set,"The dress is a two-piece set in a light gray color, featuring a top with a V-neckline, long sleeves with floral embroidery on the upper arms, and a slightly cropped, layered design, paired with wide-leg, high-waisted pants that have a smooth, flowing silhouette.
"
16,elena-co-ordinate-set-3567,Elena Co ordinate Set,Co-ordinate Set,"This pastel pink co-ordinate set is crafted from handwoven silk chanderi, features an asymmetrical shirt with a classic collar, full-length sleeves with cuffs, and is paired with straight-fit pants with pockets. Intricately adorned with silk thread embroidery.",Thread Embroidery,"Chanderi, Silk",Pink,Co-ordinate Set,"The dress is a light pink two-piece set featuring a button-down shirt with two square patches of intricate blue circular designs on the upper chest, paired with matching wide-leg pants adorned with a vertical line of similar blue circular designs along the outer seams.
"
17,amina-co-ordinate-set-3566,Amina Co ordinate Set,Co-ordinate Set,"This pastel pink co-ordinate set is crafted from handwoven silk chanderi. The top features a lapel collar, full-length sleeves with gathered cuffs and gathers at the sideseam. It is paired with flared pants with pockets, adorned with multicoloured silk thread embroidery.",Thread Embroidery,"Chanderi, Silk",Pink,Co-ordinate Set,"The dress is a light pink two-piece set featuring a long-sleeved top with a V-neckline and floral embroidery on the chest and cuffs, paired with wide-legged pants that also have floral embroidery near the hem.
"
18,anisha-co-ordinate-set-3565,Anisha Co ordinate Set,Co-ordinate Set,"This sage green co-ordinate set is crafted from handwoven silk chanderi. It features a layered top with straps, paired with straight-fit pants with pockets. The ensemble is adorned with multicoloured silk ribbon embroidery, enhanced with 3D embellishments with beads and sequins.","Ribbon Embroidery, 3D Embroidery, Bead Work, Sequin Embroidery","Chanderi, Silk",Green,Co-ordinate Set,
19,mehzal-co-ordinate-set-3564,Mehzal Co ordinate Set,Co-ordinate Set,"This sage green co-ordinate set is crafted from handwoven silk chanderi. The top features a classic shirt collar, full-length sleeves with gathered cuffs, and is paired with straight-fit pants with pockets. Intricately adorned with multicoloured silk thread embroidery.","Thread Embroidery, Bead Work","Chanderi, Silk",Green,Co-ordinate Set,"The dress is a light green two-piece set featuring a long-sleeved top with a collared neckline and floral embroidery on the chest, paired with matching pants adorned with small floral patterns scattered throughout.
"
