Query,Handle,Title,Product Type,Color,Fabric,Craft,Official Description,LLM Image Description
azure kurta,malay-kurta-set-blue,Malay Kurta Set,Kurta Set,Blue,"Chanderi, Mulmul","Thread Embroidery, Dori Embroidery, Zari Work","Channel elegance with our Blue Chanderi Shirt, detailed with pin tucks in the centre front and back, multi-colour silk thread work and gold dori embroidery. Accompanied by a Pakistani salwar embellished with multi-coloured embroidered motifs and a mulmul dupatta accentuated with red hand-woven tissue and satin.This handwoven ensemble showcases unique charm and character with slight irregularities in pattern, colour, or texture, celebrating the craftsmanship and individuality of each piece. Embrace these variations as part of the product's story, crafted with care and attention to detail.","The dress is a blue three-piece suit featuring a pleated kurta with floral embroidery along the neckline and sleeves, a matching dupatta with embroidered borders, and straight-leg pants adorned with floral motifs near the hem.
"
azure kurta,waheeda-kurta-set-ivory,Waheeda Kurta Set,Kurta Set,White,Cotton,Embroidery,This is an off-white cotton short kurta with flared sleeves and has been beautifully embellished with embroidered floral and bird motifs. It comes with a pair of embroidered off-white cotton pants and an embroidered off-white georgette dupatta.,"The dress is a three-piece set featuring an off-white kurta with a round neckline and delicate floral embroidery along the placket, a matching dupatta with a blue and yellow border and floral embroidery, and straight-leg pants with similar floral embroidery at the hem, the kurta also has gold floral print on the lower half.
"
azure kurta,saffiya-kurta-set,Saffiya Kurta Set,Kurta Set,Blue,Linen,Dori Work,Featuring a blue a-line kurta enhanced with a dori embroidered yoke. Paired with a churidar.,"The dress is a light blue, long-sleeved kurta with intricate gold embroidery around the neckline, placket, and cuffs, featuring a gathered waist and a straight hemline.
"
azure kurta,annan-kurta-set,Annan Kurta Set,Kurta Set,Uncategorized,Mulmul,Kasab,"This set features an embroidered handloom cotton long kurta, ankle length trousers and an enhanced border dupatta with tassels on the corners.","The dress is a black salwar kameez with gold and white embroidery around the neckline, cuffs, and hem, featuring a straight-cut kameez with a round neckline and long sleeves, adorned with small floral motifs scattered throughout, and paired with a sheer black dupatta with matching gold embroidery along the edges.
"
azure kurta,gulachin-kurta-set,Gulachin Kurta Set,Kurta Set,Uncategorized,Mulmul,"Thread Embroidery, Pearl Work, Sequin Embroidery",This set features multicolour floral resham embroidered kurta with ivory churidar and organza polka dot dupatta.,"The dress is a cream-colored kurta with a straight cut, featuring a mandarin collar and a placket adorned with small buttons and gold trim, the kurta is embellished with floral motifs in shades of blue, yellow, and gold, scattered across the front and sleeves, the sleeves are three-quarter length, and the kurta has side slits, paired with a sheer, light yellow dupatta with small, scattered embellishments and a delicate beaded trim.
"
azure kurta,malay-kurta-set-blue,Malay Kurta Set,Kurta Set,Blue,"Chanderi, Mulmul","Thread Embroidery, Dori Embroidery, Zari Work","Channel elegance with our Blue Chanderi Shirt, detailed with pin tucks in the centre front and back, multi-colour silk thread work and gold dori embroidery. Accompanied by a Pakistani salwar embellished with multi-coloured embroidered motifs and a mulmul dupatta accentuated with red hand-woven tissue and satin.This handwoven ensemble showcases unique charm and character with slight irregularities in pattern, colour, or texture, celebrating the craftsmanship and individuality of each piece. Embrace these variations as part of the product's story, crafted with care and attention to detail.","The dress is a blue three-piece suit featuring a pleated kurta with floral embroidery along the neckline and sleeves, a matching dupatta with embroidered borders, and straight-leg pants adorned with floral motifs near the hem.
"
azure kurta,waheeda-kurta-set-ivory,Waheeda Kurta Set,Kurta Set,White,Cotton,Embroidery,This is an off-white cotton short kurta with flared sleeves and has been beautifully embellished with embroidered floral and bird motifs. It comes with a pair of embroidered off-white cotton pants and an embroidered off-white georgette dupatta.,"The dress is a three-piece set featuring an off-white kurta with a round neckline and delicate floral embroidery along the placket, a matching dupatta with a blue and yellow border and floral embroidery, and straight-leg pants with similar floral embroidery at the hem, the kurta also has gold floral print on the lower half.
"
azure kurta,saffiya-kurta-set,Saffiya Kurta Set,Kurta Set,Blue,Linen,Dori Work,Featuring a blue a-line kurta enhanced with a dori embroidered yoke. Paired with a churidar.,"The dress is a light blue, long-sleeved kurta with intricate gold embroidery around the neckline, placket, and cuffs, featuring a gathered waist and a straight hemline.
"
azure kurta,annan-kurta-set,Annan Kurta Set,Kurta Set,Uncategorized,Mulmul,Kasab,"This set features an embroidered handloom cotton long kurta, ankle length trousers and an enhanced border dupatta with tassels on the corners.","The dress is a black salwar kameez with gold and white embroidery around the neckline, cuffs, and hem, featuring a straight-cut kameez with a round neckline and long sleeves, adorned with small floral motifs scattered throughout, and paired with a sheer black dupatta with matching gold embroidery along the edges.
"
azure kurta,gulachin-kurta-set,Gulachin Kurta Set,Kurta Set,Uncategorized,Mulmul,"Thread Embroidery, Pearl Work, Sequin Embroidery",This set features multicolour floral resham embroidered kurta with ivory churidar and organza polka dot dupatta.,"The dress is a cream-colored kurta with a straight cut, featuring a mandarin collar and a placket adorned with small buttons and gold trim, the kurta is embellished with floral motifs in shades of blue, yellow, and gold, scattered across the front and sleeves, the sleeves are three-quarter length, and the kurta has side slits, paired with a sheer, light yellow dupatta with small, scattered embellishments and a delicate beaded trim.
"
azure kurta,malay-kurta-set-blue,Malay Kurta Set,Kurta Set,Blue,"Chanderi, Mulmul","Thread Embroidery, Dori Embroidery, Zari Work","Channel elegance with our Blue Chanderi Shirt, detailed with pin tucks in the centre front and back, multi-colour silk thread work and gold dori embroidery. Accompanied by a Pakistani salwar embellished with multi-coloured embroidered motifs and a mulmul dupatta accentuated with red hand-woven tissue and satin.This handwoven ensemble showcases unique charm and character with slight irregularities in pattern, colour, or texture, celebrating the craftsmanship and individuality of each piece. Embrace these variations as part of the product's story, crafted with care and attention to detail.","The dress is a blue three-piece suit featuring a pleated kurta with floral embroidery along the neckline and sleeves, a matching dupatta with embroidered borders, and straight-leg pants adorned with floral motifs near the hem.
"
azure kurta,waheeda-kurta-set-ivory,Waheeda Kurta Set,Kurta Set,White,Cotton,Embroidery,This is an off-white cotton short kurta with flared sleeves and has been beautifully embellished with embroidered floral and bird motifs. It comes with a pair of embroidered off-white cotton pants and an embroidered off-white georgette dupatta.,"The dress is a three-piece set featuring an off-white kurta with a round neckline and delicate floral embroidery along the placket, a matching dupatta with a blue and yellow border and floral embroidery, and straight-leg pants with similar floral embroidery at the hem, the kurta also has gold floral print on the lower half.
"
azure kurta,saffiya-kurta-set,Saffiya Kurta Set,Kurta Set,Blue,Linen,Dori Work,Featuring a blue a-line kurta enhanced with a dori embroidered yoke. Paired with a churidar.,"The dress is a light blue, long-sleeved kurta with intricate gold embroidery around the neckline, placket, and cuffs, featuring a gathered waist and a straight hemline.
"
azure kurta,annan-kurta-set,Annan Kurta Set,Kurta Set,Uncategorized,Mulmul,Kasab,"This set features an embroidered handloom cotton long kurta, ankle length trousers and an enhanced border dupatta with tassels on the corners.","The dress is a black salwar kameez with gold and white embroidery around the neckline, cuffs, and hem, featuring a straight-cut kameez with a round neckline and long sleeves, adorned with small floral motifs scattered throughout, and paired with a sheer black dupatta with matching gold embroidery along the edges.
"
azure kurta,gulachin-kurta-set,Gulachin Kurta Set,Kurta Set,Uncategorized,Mulmul,"Thread Embroidery, Pearl Work, Sequin Embroidery",This set features multicolour floral resham embroidered kurta with ivory churidar and organza polka dot dupatta.,"The dress is a cream-colored kurta with a straight cut, featuring a mandarin collar and a placket adorned with small buttons and gold trim, the kurta is embellished with floral motifs in shades of blue, yellow, and gold, scattered across the front and sleeves, the sleeves are three-quarter length, and the kurta has side slits, paired with a sheer, light yellow dupatta with small, scattered embellishments and a delicate beaded trim.
"
azure kurta,malay-kurta-set-blue,Malay Kurta Set,Kurta Set,Blue,"Chanderi, Mulmul","Thread Embroidery, Dori Embroidery, Zari Work","Channel elegance with our Blue Chanderi Shirt, detailed with pin tucks in the centre front and back, multi-colour silk thread work and gold dori embroidery. Accompanied by a Pakistani salwar embellished with multi-coloured embroidered motifs and a mulmul dupatta accentuated with red hand-woven tissue and satin.This handwoven ensemble showcases unique charm and character with slight irregularities in pattern, colour, or texture, celebrating the craftsmanship and individuality of each piece. Embrace these variations as part of the product's story, crafted with care and attention to detail.","The dress is a blue three-piece suit featuring a pleated kurta with floral embroidery along the neckline and sleeves, a matching dupatta with embroidered borders, and straight-leg pants adorned with floral motifs near the hem.
"
azure kurta,waheeda-kurta-set-ivory,Waheeda Kurta Set,Kurta Set,White,Cotton,Embroidery,This is an off-white cotton short kurta with flared sleeves and has been beautifully embellished with embroidered floral and bird motifs. It comes with a pair of embroidered off-white cotton pants and an embroidered off-white georgette dupatta.,"The dress is a three-piece set featuring an off-white kurta with a round neckline and delicate floral embroidery along the placket, a matching dupatta with a blue and yellow border and floral embroidery, and straight-leg pants with similar floral embroidery at the hem, the kurta also has gold floral print on the lower half.
"
