Query,Handle,Title,Product Type,Color,Fabric,Craft,Official Description,LLM Image Description
white,forum-tunic,Forum Top,Uncategorized,White,Linen,Thread Embroidery,Featuring an off-white linen embroidered shirt. Pair it with your favorite separates.,"The dress is a light beige two-piece set featuring a button-down top with a mandarin collar, three-quarter length bell sleeves, and a pleated lower section, adorned with purple floral embroidery across the chest and sleeves, paired with matching straight-leg pants.
"
white,nazneen-kurta-set,Nazneen Kurta Set,Kurta Set,White,Linen,Zardoz,Featuring an off-white linen embroidered straight shirt with palazzos and a mukaish dupatta.,"The dress is a cream-colored sleeveless kurta with a round neckline, featuring intricate embroidery in shades of pink, gold, and brown around the neckline and down the front, with floral motifs scattered across the bodice and a decorative border at the hem, paired with matching wide-legged pants and a sheer dupatta with delicate embellishments and a scalloped edge.
"
white,safaa-dress,Safaa Dress,Dress,White,Linen,Dori Work,Featuring an off-white front open jacket with dori embroidery and a long dress.,"The dress is a long, flowing, off-white gown with wide sleeves, featuring intricate gold embroidery along the front edges, neckline, belt, and sleeve hems, and a small keyhole opening at the neckline.
"
white,waheeda-kurta-set-ivory,Waheeda Kurta Set,Kurta Set,White,Cotton,Embroidery,This is an off-white cotton short kurta with flared sleeves and has been beautifully embellished with embroidered floral and bird motifs. It comes with a pair of embroidered off-white cotton pants and an embroidered off-white georgette dupatta.,"The dress is a three-piece set featuring an off-white kurta with a round neckline and delicate floral embroidery along the placket, a matching dupatta with a blue and yellow border and floral embroidery, and straight-leg pants with similar floral embroidery at the hem, the kurta also has gold floral print on the lower half.
"
white,noor-anarkali-set-ivory,Noor Suit Set,Anarkali Set,White,Organza,"Embroidery, Swarovski",This off-white organza kalidar kurta has been embroidered with machine and highlighted with Swarovski. It comes with a pair of embroidered pants and an embroidered off-white georgette dupatta.,"The dress is a light-colored, possibly white or off-white, three-piece salwar kameez suit featuring a kurta with a mandarin collar and delicate white floral embroidery on the front panel and lower portion, the sleeves are sheer with a scalloped edge trimmed with a light green accent, paired with matching straight-leg pants that also have subtle embroidery near the hem, and a sheer dupatta with scalloped edges and similar floral embroidery.
"
white,forum-tunic,Forum Top,Uncategorized,White,Linen,Thread Embroidery,Featuring an off-white linen embroidered shirt. Pair it with your favorite separates.,"The dress is a light beige two-piece set featuring a button-down top with a mandarin collar, three-quarter length bell sleeves, and a pleated lower section, adorned with purple floral embroidery across the chest and sleeves, paired with matching straight-leg pants.
"
white,nazneen-kurta-set,Nazneen Kurta Set,Kurta Set,White,Linen,Zardoz,Featuring an off-white linen embroidered straight shirt with palazzos and a mukaish dupatta.,"The dress is a cream-colored sleeveless kurta with a round neckline, featuring intricate embroidery in shades of pink, gold, and brown around the neckline and down the front, with floral motifs scattered across the bodice and a decorative border at the hem, paired with matching wide-legged pants and a sheer dupatta with delicate embellishments and a scalloped edge.
"
white,safaa-dress,Safaa Dress,Dress,White,Linen,Dori Work,Featuring an off-white front open jacket with dori embroidery and a long dress.,"The dress is a long, flowing, off-white gown with wide sleeves, featuring intricate gold embroidery along the front edges, neckline, belt, and sleeve hems, and a small keyhole opening at the neckline.
"
white,waheeda-kurta-set-ivory,Waheeda Kurta Set,Kurta Set,White,Cotton,Embroidery,This is an off-white cotton short kurta with flared sleeves and has been beautifully embellished with embroidered floral and bird motifs. It comes with a pair of embroidered off-white cotton pants and an embroidered off-white georgette dupatta.,"The dress is a three-piece set featuring an off-white kurta with a round neckline and delicate floral embroidery along the placket, a matching dupatta with a blue and yellow border and floral embroidery, and straight-leg pants with similar floral embroidery at the hem, the kurta also has gold floral print on the lower half.
"
white,noor-anarkali-set-ivory,Noor Suit Set,Anarkali Set,White,Organza,"Embroidery, Swarovski",This off-white organza kalidar kurta has been embroidered with machine and highlighted with Swarovski. It comes with a pair of embroidered pants and an embroidered off-white georgette dupatta.,"The dress is a light-colored, possibly white or off-white, three-piece salwar kameez suit featuring a kurta with a mandarin collar and delicate white floral embroidery on the front panel and lower portion, the sleeves are sheer with a scalloped edge trimmed with a light green accent, paired with matching straight-leg pants that also have subtle embroidery near the hem, and a sheer dupatta with scalloped edges and similar floral embroidery.
"
white,forum-tunic,Forum Top,Uncategorized,White,Linen,Thread Embroidery,Featuring an off-white linen embroidered shirt. Pair it with your favorite separates.,"The dress is a light beige two-piece set featuring a button-down top with a mandarin collar, three-quarter length bell sleeves, and a pleated lower section, adorned with purple floral embroidery across the chest and sleeves, paired with matching straight-leg pants.
"
white,nazneen-kurta-set,Nazneen Kurta Set,Kurta Set,White,Linen,Zardoz,Featuring an off-white linen embroidered straight shirt with palazzos and a mukaish dupatta.,"The dress is a cream-colored sleeveless kurta with a round neckline, featuring intricate embroidery in shades of pink, gold, and brown around the neckline and down the front, with floral motifs scattered across the bodice and a decorative border at the hem, paired with matching wide-legged pants and a sheer dupatta with delicate embellishments and a scalloped edge.
"
white,safaa-dress,Safaa Dress,Dress,White,Linen,Dori Work,Featuring an off-white front open jacket with dori embroidery and a long dress.,"The dress is a long, flowing, off-white gown with wide sleeves, featuring intricate gold embroidery along the front edges, neckline, belt, and sleeve hems, and a small keyhole opening at the neckline.
"
white,waheeda-kurta-set-ivory,Waheeda Kurta Set,Kurta Set,White,Cotton,Embroidery,This is an off-white cotton short kurta with flared sleeves and has been beautifully embellished with embroidered floral and bird motifs. It comes with a pair of embroidered off-white cotton pants and an embroidered off-white georgette dupatta.,"The dress is a three-piece set featuring an off-white kurta with a round neckline and delicate floral embroidery along the placket, a matching dupatta with a blue and yellow border and floral embroidery, and straight-leg pants with similar floral embroidery at the hem, the kurta also has gold floral print on the lower half.
"
white,noor-anarkali-set-ivory,Noor Suit Set,Anarkali Set,White,Organza,"Embroidery, Swarovski",This off-white organza kalidar kurta has been embroidered with machine and highlighted with Swarovski. It comes with a pair of embroidered pants and an embroidered off-white georgette dupatta.,"The dress is a light-colored, possibly white or off-white, three-piece salwar kameez suit featuring a kurta with a mandarin collar and delicate white floral embroidery on the front panel and lower portion, the sleeves are sheer with a scalloped edge trimmed with a light green accent, paired with matching straight-leg pants that also have subtle embroidery near the hem, and a sheer dupatta with scalloped edges and similar floral embroidery.
"
white,forum-tunic,Forum Top,Uncategorized,White,Linen,Thread Embroidery,Featuring an off-white linen embroidered shirt. Pair it with your favorite separates.,"The dress is a light beige two-piece set featuring a button-down top with a mandarin collar, three-quarter length bell sleeves, and a pleated lower section, adorned with purple floral embroidery across the chest and sleeves, paired with matching straight-leg pants.
"
white,nazneen-kurta-set,Nazneen Kurta Set,Kurta Set,White,Linen,Zardoz,Featuring an off-white linen embroidered straight shirt with palazzos and a mukaish dupatta.,"The dress is a cream-colored sleeveless kurta with a round neckline, featuring intricate embroidery in shades of pink, gold, and brown around the neckline and down the front, with floral motifs scattered across the bodice and a decorative border at the hem, paired with matching wide-legged pants and a sheer dupatta with delicate embellishments and a scalloped edge.
"
